name,abstract,title
Andrew Wetzel,"I will present predictions from the FIRE-2 cosmological zoom-in simulations for the formation history of the Local Group in a cosmological context. First, I will discuss the formation history of the MW and M31 galaxies, including when the main progenitor of the MW/M31 likely formed and how this depends on them being in the Local Group paired environment. Then, I will discuss the formation and settling of their stellar and gaseous disks, including the relevant importance of disk setting versus post-formation heating for determining the observable relation between stellar kinematics and stellar age today. Finally, I will discuss the formation histories of the satellite galaxies in these simulations, showing that the current satellite population is a highly incomplete census of the progenitor population that formed the Local Group, and I will quantify how well the stellar populations of surviving low-mass galaxies provide fossil records of the overall galaxy population at z > 6, to inform the use of galactic archeology in probing the epoch of reionization.",Simulating the formation of the Milky Way and the Local Group
Andrey Kravtsov,"I will present a simple model for evolution of dwarf galaxies, which can reproduce a remarkably broad range of observed properties of dwarf galaxies over seven orders of magnitude in stellar mass. In particular, we show that the model can simultaneously match observational constraints on the stellar mass-halo mass relation, as well as observed relations between stellar mass and gas phase and stellar metallicities, gas mass, size, and star formation rate, as well as general form and diversity of star formation histories of observed dwarf galaxies. We use the model to forward model population of the Milky Way (MW) satellites down to the faintest luminosities probed by observations (M_V~0) and properly taking into account observational selection effects, effects of disk disruption and effects of LMC. We show that 1) observed luminosity function (LF) favors early reionization (z_rei~8) of the local volume, 2) model can reproduce radial distribution of the MW satellites without use of orphans, 3) analyses of a sample of MW-sized halos shows that observed planar distribution of the Milky Way satellites and correlation of their orbital poles is somewhat unusual, but is statistically consistent with LCDM. ",Forward-modelling population of Milky Way satelles in LCDM model
Anirudh Chiti,"We present the detailed chemical abundances of stars in the outskirts (out to ~9 half-light radii) of the Tucana II ultra-faint dwarf galaxy (UFD). The Milky Way’s UFDs are “relic” galaxies (~13 Gyr old) from the early universe, making their stars unique probes of the first stages of galactic and chemical evolution in a simple, self-contained environment. Previous spectroscopic studies had largely been limited to stars within the core of these galaxies (~2 half-light radii) due to the sparseness of their distant stars. This work presents the first detailed abundances of a population of stars outside a UFD’s core region (~4 half-light radii) that appear to be bound to the galaxy. The distant stars are, on average, more metal-poor than the central population, affirming Tucana II to be the most metal-poor known UFD (<[Fe/H]> ~ -2.85). This difference between inner and outer stars suggests Tucana II, and perhaps other ultra-faints, plausibly were influenced by early, strong feedback or a galactic merger. In particular, the alpha-element abundances in Tucana II indicate some delayed chemical evolution, consistent with Tucana II being formed by an early merger of two first galaxies that triggered star formation. Such distant stars also imply that Tucana II harbors a massive, spatially extended dark matter halo. Collectively, these results suggest that key factors in understanding the early evolution of relic dwarf galaxies lie in their outskirts and were missed by previous observations. We demonstrate that detailed studies of such stars in the halos of relic galaxies are now possible.",Detailed chemical abundances of stars in the extended halo of an ancient dwarf galaxy
Chung-Wen Wang,"Wide-area deep imaging surveys have discovered large numbers of extremely low surface brightness dwarf galaxies, which present interesting challenges to galaxy formation theory and, potentially, new constraints on the nature of the dark matter. In this work, we will discuss one as-yet unexplored formation mechanism that may account for a fraction of low surface brightness galaxies. We call this the `ghost galaxy' scenario. In this scenario, inefficient radiative cooling prevents star formation in the dominant dark matter potential of low mass halos, such that almost all their stellar mass is acquired through mergers. Systems formed in this way would appear as 'ghostly' isolated stellar halos  with no central galaxy. We use merger trees based on the Extended Press-Schechter formalism and the CoCo cosmological N-body simulation to demonstrate that mass assembly histories of this kind do occur for low-mass halos in lambda CDM. They are most probable in isolated halos of present-day mass 4 x 10^9 M_sun, occurring for 5 per cent of all halos of that mass. The stellar masses of the star-forming progenitors in these systems are highly uncertain, but abundance-matching arguments imply a bimodal present-day mass function having a brighter population. We will discuss the sensitivity of this result to assumptions about cosmic reionization and the dark matter particle mass. ",Ghostly galaxies: accretion-dominated stellar systems in low-mass dark matter haloes
Damir Gasymov,"The process of growing galactic discs is still not fully understood. In the majority of disk galaxies the gas and stars are located in the same plane and rotate in the same direction. However there are kinematically peculiar galaxies hosting two counter-rotating stellar discs. Their origin is believed to be the result of a past event of accretion of gas followed by star formation.By studying such galaxies we will be able to learn how much material, when, and how might have fallen onto the progenitor galaxy. Using publicly available data of the SDSS MaNGA DR17 survey we identified a sample of 56 counter-rotating galaxies in the MaNGA IFU survey and initiated a follow-up observational campaign at 6-m BTA telescope aiming to determine the stellar population properties of both stellar discs. Our preliminary results suggest the dichotomy of the sample of counter-rotating galaxies. We found that most massive galaxies have extended counter-rotating disks whose contribution to luminosity is higher than in the less massive galaxies suggestive of different evolutionary paths.",Study of galaxies with stellar counter-rotation phenomenon
Emily Wisnioski,"Galaxy evolution is an inherently messy processes to disentangle. To achieve a holistic understanding we need to combine our observations and models to ask: how does the Milky Way's evolutional path fit within modern observations of the high-z universe?  Kinematics and structural studies have revealed that the majority of 'normal' star-forming galaxies at cosmic noon host thick disk-like structure and a turbulent gas-rich interstellar medium while new CII observations reveal possibly cold disks at cosmic dawn. Chemical studies reveal that the resolved abundance patterns of disks are also evolving with radial gradients being subdominant at early times. How does this relate to the state-of-the art models of the MW's past? I will present results that show how combining new analytic models (e.g. Sharda et al. 2021 and Leaman et al. 2022) with  high redshift surveys of molecular and ionised gas and local galactic/extragalactic archeology studies can provide insight to the evolutionary history of local galaxies including the Milky Way. I will discuss observational results within the framework of theoretical models for the formation of the local stellar age-velocity dispersion relation, the size-scale height relation, and history of metallicity gradients in local group galaxies.",Connecting Epochs:  how the chemo-dynamical evolution of disks over cosmic time is imprinted on local galaxies
Genta Sato,"It is observationally known that many satellite galaxies of the Milky Way (MW) distribute along a large-scaled plane. This structure is called as Vast Polar Structure (VPOS) (e.g., Pawlowski et al. 2012). The reason the satellites form two-dimensional structure has not been solved yet. Additionally, it is also known that other galaxies (e.g., Andromeda) have the same large planar structure in their satellites. Therefore, I expect that the mechanism to generate VPOS comes from a general galaxy physics, not from the MW's unique property. I carried out numerical calculation to search the condition reproducing the stable orbits of particles consistent with the actual VPOS, in terms of the figure rotation of the MW' halo. I found that a stable orbital plane with presession around the rotating axis appears within a rotating potential model.",The occurrence and evolution of the planer structure in Milky Way's satellite galaxies
Gerhard Hensler,"It is well accepted that the majority of massive galaxies has suffered at least one major merger event during their lifetime independent whether the remnant becomes a gas-rich disk galaxy or a red and dead elliptical. Since both merging galaxies combine their satellite systems and additionally produce new star clusters and dwarf galaxies in their gaseous tidal tails (TDGs for the latter), the motions of these sub-components and their resistence against tidal disruption depend on the accumulated Dark Matter (DM) halo. We have therefore analyzed the radial DM density distribution of two merging galaxies from the merger simulation by Yang et al. (2014) in a temporal sequence after the merger event and have compared the snapshots with the Navarro-Frenk-White (NFW) profle of a relaxed halo which is generally assumed for massive galaxy halos. As expected, but nowhere shown, the relaxation of the DM halo takes much longer than the numerical simulation runs and whitness the merger event even after 6.5 Gyrs by an anisotropic DM distribution, becoming flat in the orbital plane of the merging galaxies, while the vertical DM stratification survives close to NFW. The consequences are obvious. Former satellites are affected by the anisotropic DM distribution by two measures: i) the gravitational binding in the orbital plane decreases, facilitating those satellites on orbits close to the plane to escape from the merger, while satellites on polar orbits become more closely bound. This flattening of the DM's gravity also affects newly born TDGs, so that numerical simulations of satellites and TDGs fail when implying a spherical static NFW profile. ii) The tidal force of the merger remnant acts differently on satellites.",Is the Dark-Matter Distribution of Merger Remnants still spherical?
Giulia Rodighiero,"We present the results of a detailed photometric analysis, including data from the  UV (GALEX) up to the far-Infrared (Herschel), of a sample of eight local grand design spirals collected from the Dustpedia database. We perform a spatially resolved study down to spatial scales of ~0.5Kpc, applying an SED fitting procedure that accounts for the obscured star formation processes. Adopting a bayesian approach (BAGPIPES), we reconstruct the average star formation histories over the different regions of each galaxy, from the central bulges up to the very outskirts of the spiral structures. In this talk we will report our preliminary results, highlighting the detection of old stellar populations (i.e. with mass weighted ages similar to those of the bulge) symmetrically surrounding the galaxies in the most external regions of the disks.  Possible interpretations will be discussed, accounting for both in-situ and ex-situ scenarios. This presentation is based on the work of the master Thesis of my student, dr. Maria Cristina Lofaro.",The stellar mass assembly of galactic disks from multiwavelength observations of nearby grand design spirals
Hesti Wulandari,"Due to their low mass, dwarf galaxies are highly vulnerable to internal and external disturbances, which alter the evolution of the galaxy. The disturbances cause baryonic matter to leave the system more easily; therefore, dwarf galaxies are expected to be more dominant in dark matter than normal galaxies. However, recent observations discovered some dark matter deficient dwarf galaxies. This motivates studies to investigate other dwarf galaxies and look for possible explanations for the deficiency. The aim our work is to examine dwarf galaxies in the SPARC (Spitzer Photometry and Accurate Rotation Curves) and LITTLE THINGS (Local Irregulars That Trace Luminosity Extremes, The HI Nearby Galaxy Survey) catalogs, to identify if any of them are dark matter deficient, and to explore some possible causes. For this identification, EAGLE (Evolution and Assembly of GaLaxies and their Environments) simulation galaxies are used, and it is assumed that their conditions describe the expected conditions for the observed galaxies. Three dark matter deficient galaxies, i.e., IC 1613, DDO 50, and UGC 7125 are identified as outliers in the Baryonic Tully-Fisher relation, having galaxy formation efficiency higher than 20% and different rotation curves compared to the simulated galaxies. However, the dark matter deficiency in UGC 7125 is not conclusive due to the distance uncertainty. On the contrary, the available literature for IC 1613 and DDO 50 do not show any sign that the dark matter deficiency in the two galaxies is due to distance uncertainties. The uncertainty in the inclination of IC 1613 may change the conclusion of the dark matter deficiency, but that is not the case for DDO 50 and UGC 7125. Based on the examination of the tidal radii of the siblings, no potential of stripping is indicated in the three galaxies. However, literature show an indication of gas disturbance in DDO 50 through ram pressure stripping by the hot gas in the galaxy cluster, and that the HI disk of UGC 7125 warps.",Identification of dark matter deficient dwarf galaxies in SPARC and LITTLE THINGS
Jaeweon Lee,"We numerically make a comparison between the fuzzy dark matter model and  the cold dark matter model, focusing on formations of satellite galaxy planes around massive galaxies. We demonstrate that satellite galaxies in the fuzzy dark matter side have a tendency to form more flattened and corotating satellite systems than in the cold dark matter side due to the dissipation by the gravitational cooling effect of the fuzzy dark matter. (arXiv:2207.07192)",Satellite galaxy plane problem and ultralight dark matter
Janvi Madhani,"There has been a long standing conflict between observations of planes of dwarf satellites around local galaxies and numerical simulations of similar galaxies. Observations find planes of satellites around the Milky Way, Andromeda, Centaurus A and possibly several other local galaxies. Numerical simulations find that planes are rare, present in less than 2% of Milky Way-type systems, or are spurious and short-lived. This discrepancy has been interpreted as a challenge to our accepted cosmology, namely the Lambda CDM paradigm. We present results that show that this conflict can be resolved if one simulates a larger volume, while forcing small-scale resolution across it, to better capture inflow along cosmic filaments. We use the New Horizon simulation and find that ~30% of Milky Way-type systems have satellite planes, therefore, solving this conflict.  We also discuss the likely origins of these planes and a new window into the dynamics of the Local Universe they may provide.",Conflict Solved: Satellite Planes Found in Numerical Simulations
Jesse van de Sande,"Due to the complexity of internal and external processes acting on disk galaxies, many outstanding questions regarding their evolution remain. Our Milky Way provides an unparalleled view of disk evolution but building a comprehensive framework from a single object is unrealistic. In this talk I will present the GECKOS survey (Generalising Edge-on galaxies and their Chemical bimodalities, Kinematics, and Outflows out to Solar environments), a new ESO VLT/MUSE large program. The main aim of GECKOS is to reveal the variation in key physical processes of disk formation by connecting Galactic Archaeology with JWST studies of turbulent star-forming disks in the early Universe. Edge-on galaxies are ideal for this task: they allow us to disentangle the assembly history imprinted in thick disks and provide the greatest insights into outflows. The GECKOS sample of 35 nearby, edge-on disk galaxies is designed to determine the assembly histories and properties of galaxies across a large range of SFRs, B/T ratios, and boxy and non-boxy bulges. At this meeting, I will present the survey’s first few months of IFS data, with 2D measurements of stellar abundance, age, and kinematics, as well as ionised gas metallicities, ionisation parameters, and outflow kinematics; all core ingredients for chemical evolution models.  With these data, we aim to extend Galactic methods to the wider galaxy population, reaping the benefits of detailed Milky Way studies, while probing the diverse mechanisms of galaxy evolution. ",GECKOS: Turning galaxy evolution on its side with deep observations of edge-on galaxies
Johan Knapen,"We describe studies of faint structures in the outskirts of galaxies, inclusing tails, shells, haloes, and thick disks, made possible by optical and near-IR imaging at the deepest levels feasible. Specialised data analysis techniques now allow us to reach levels of surface brightness below 30 arcsec/sq. arcsec (measured as 3 sigma over 10x10 arcsec^2 areas) in images obtained from space, or from small or large ground-based telescopes. I will present highlights of our group's recent work, including the detection of satellites and tails, the nature of ultra faint galaxies, and advances on reducing the scatter in the mass-size relation by using better defined samples and a new definition of galaxy size. I will explain how our analysis techniques can be used for upcoming imging, including from LSST, Euclid, or JWST. ",Uncovering galaxy history through deep imaging
Jorge Moreno,"The standard cold dark matter plus cosmological constant model predicts that galaxies form within dark-matter haloes, and that dwarf galaxies are more dark-matter dominated than massive ones. The unexpected discovery of two low-mass galaxies lacking dark matter immediately provoked concerns about the standard cosmology and ignited explorations of alternatives, including self-interacting dark matter and modified gravity. Apprehension grew after several cosmological simulations using the conventional model failed to form adequate numerical analogues with comparable internal characteristics. In this talk I will show that the standard paradigm naturally produces galaxies lacking dark matter with internal characteristics in agreement with observations. Using FIREbox, a state-of-the-art cosmological simulation based on the `Feedback In Realistic Environments' (FIRE) model, and a meticulous galaxy-identification technique, we find that extreme close encounters with massive neighbours can be responsible for this. We predict that ~30% of massive central galaxies (with at least 1e11 solar masses in stars) harbour at least one dark-matter-deficient satellite (with 1e8–1e9 solar masses in stars). This distinctive class of galaxies provides an additional layer in our understanding of the role of interactions and tidal stripping in shaping galactic properties. Future observations surveying galaxies in the aforementioned regime, with facilities like the Rubin and JWST, will provide a crucial test of this scenario. If time allows, I will also speak of future plans to conduct ultra-high resolution zooms capable of probing the formation and nature of globular clusters in these galaxies. Paper: Moreno et al., Nature Astronomy, 6, pages 496–502 (2022)",Galaxies lacking dark matter in LCDM
Kaley Brauer,"In the age of Gaia, we are gaining a better understanding of the major mergers experienced by the Milky Way throughout its formation, such as the Gaia-Enceladus and Sequoia events. The low mass end of the Milky Way's assembly history is still poorly understood, however. The smallest dwarf galaxies accreted by the Milky Way, the ultra faint dwarfs (UFDs), were among the first galaxies in the Universe and could provide important insight into early galaxy formation and chemical enrichment. Currently, though, we lack ways to identify stars which accreted from UFDs. By utilizing the Caterpillar simulation suite, a suite of 35 Milky Way-mass galaxies forming, we find that chemical tagging with r-process elements and clustering in kinematic phase space can help us identify stars which accreted together from these dwarf galaxies. We are expanding on this work with highly-resolved hydrodynamic simulations of the earliest dwarf galaxies to quantify the low-mass end of the Milky Way assembly history. Identifying stars from UFDs that still exist in the Local Group is particularly vital because even JWST cannot directly observe these low-mass high-redshift galaxies.","The Smallest, Earliest Galaxies and their Contributions to the Milky Way"
Kim Venn,"High resolution spectral observations provide high precision radial velocities and chemical abundances for faint stars associated with structures in the MW and Local Group, complimenting the exquisite phase space information provided by the Gaia mission.  I would like to present recent results for stars selected from Gaia DR3 at large half-light radii in nearby UFDs to discuss the accretion history and/or disruption of these very low mass systems.  I also hope to present new results for stars in MW streams found by combining Gaia with the Pristine survey to disentangle their origins ranging from the merging of small satellite galaxies to the destruction of star clusters over billions of years.  ",Chemodynamics of stars Streams and UFDs
Ling Zhu,"In the last decade, IFU observations have provided kinematical, age, and metallicity maps of thousands of nearby galaxies. By applying a novel population-orbit superposition method to the IFU data, we have been able to obtain a galaxy’s internal stellar orbit distribution, as well as the age and metallicity of different orbital structures. We have applied this method to a few hundreds of CALIFA, MaNGA and Fornax 3D (observed by MUSE/VLT) galaxies, and the results lead to direct comparisons of galaxy structures with simulations systematically.  For galaxies in field, we find that the stellar orbit distribution of Illustris TNG50 galaxies matches that of the CALIFA galaxies remarkable well, quantitatively in the fractions of dynamical cold/hot orbits as a function of galaxy mass in the range of 10^9.5 -10^12 Msun. For galaxies in the Fornax cluster, we find that the recent infallers have similar stellar orbit distribution to the field galaxies, while ancient infallers have much lower fractions of dynamically cold orbits for galaxies in all mass ranges, this trend is also found similarly in TNG50 cluster galaxies. With this direct comparisons and remarkable agreements between observations and simulations, the stellar orbit distribution thus provides us a clean interface for quantitatively investigating the origin of galactic structures from simulations. I will show how the combination of secure evolution and mergers lead to the stellar orbit distribution in present-day galaxies from TNG50. ",The stellar orbit distribution of present-day galaxies: IFU surveys vs. Illustris TNG simulations
Maryam Khademi,"To investigate the dynamical nature of the kinematic asymmetry in the isolated gas-rich dwarf irregular galaxy W LM in the Local Group, we first examine whether an m = 1 perturbation in the halo potential could be a mechanism creating such kinematical asymmetry. By fitting a theoretical rotational velocity associated with an m = 1 perturbation in the halo potential model to the observed data, we show that such a lopsided halo potential model can explain the asymmetry in the kinematic data reasonably well. In addition, we study the kinematical classification of the velocity field of WLM with various methods, and based on a kinemetry analysis, we find that it is possible for WLM to lie in the transition region, where the disk and merger coexist. Thus, a merger may indeed be one of the possible origins of the dark matter halo lopsidedness for this isolated galaxy.",kinematic asymmetry in the dwarf irregular galaxy W LM and a perturbed halo potential 
Matthew Orkney,"Galaxies in the LCDM paradigm form through the hierarchical assembly and merging of dark matter halos. There is increasing evidence that the Milky Way has itself undergone a turbulent past, with stellar populations in chemo-dynamical space indicative of high-ratio mass mergers. The most significant of these has become known as the Gaia-Sausage Enceladus (GSE). Other populations identified in action-space have been proposed as signatures of yet more historic merger events, painting a picture of a rich and complex assembly history. The Auriga project consists of thirty cosmological-zoom simulations of Milky Way-mass galaxies, produced with the AREPO code. A third of these simulations have already been shown to host features analogous to the GSE. In this talk, I investigate the diversity of GSE analogues in the Auriga simulation suite, focusing on their kinematics and chemical properties both pre- and post-infall. I predict signals of high-redshift accretions which could discern major merger events even when chemo-dynamical analyses fall short. Then, I explore the diversity and luminosity functions of the satellite populations associated with these merging galaxies. Some satellites may appear as independent merger events, suggesting that distinct populations of stellar debris could be related to the same progenitor. Finally, I focus on the few surviving satellite galaxies, and consider whether these can be distinguished from the overall satellite population.",Exploring the diversity of sausages and their satellite populations in Auriga
Michael Fellhauer,"In our standard cosmological picture we believe that the smallest galaxies form first and more massive galaxies are built later. In contrast to that we believe that the smallest galaxies we see today, i.e. the dwarf spheroidal galaxies are formed by destroying dwarf disc galaxies of higher masses. We embark on an investigation, by means of numreical simulations, to find out at which halo masses we have a predominantly rotationally supported dwarf galaxy and at which masses we have to expect spheroidal objects from the beginning.",On the interface between dwarf spheroidal galaxies and dwarf disc galaxies
Mochammad Dafa Wardana,"The mass-anisotropy degeneracy is still one of the main issues in estimating the dark matter distribution in dwarf spheroidal galaxies, especially for the commonly used second-order Jeans analysis. We study the extension of spherical Jeans modeling by incorporating the fourth-order velocity moments under the assumption of dynamical equilibrium and a constant velocity anisotropy. The inclusion of fourth-order velocity moments allows stars’ l.o.s velocity distribution, which is sensitive to the value of the velocity anisotropy parameter, to be flexible, covering thin-tailed to heavy-tailed distributions, that is inaccessible if only second-order moments are used. We test our stellar dynamical modeling using mock data that resembles Draco dSph with either central NFW cusp or Burkert core and isotropic velocity anisotropy. Using 500 sample stars, our simulations show that incorporating fourth-order velocity moments improves the results compared to when only second-order moments are used. Typically, the velocity anisotropy is constrained two times better, while it is ~50% improvement for the constraint of the inner dark matter density slope with both parameters being recovered within 1σ uncertainties.",Constraints on dark matter distribution in dwarf spheroidal galaxies based on the 4th-order Jeans analysis
Nicolas Garavito Camargo,"The vast multidimensional data observed in the Local Group (LG) provide us with the unique opportunity of comparing the properties of the LG with their simulated analogs in cosmological simulations. In such a comparison it has been found that the observed kinematic properties of satellite galaxies in the LG are very unusual when compared to cosmological simulations. In both the Milky Way and the Andromeda galaxy, satellite galaxies are found to be distributed and moving in flattened co-rotating systems. A configuration that is only found in 0.3-3% of the simulated galaxies. Such disagreement is known as the planes of satellites problem. More intriguing is that the disagreement is persistent even in different dark matter models and unlike other 'small-scale problems' it is not sensitive to the inclusion of baryonic processes in the simulations. In this talk, I would provide evidence of how a natural explanation of the observed co-rotation patterns are associated with the out-of-equilibrium state of the galaxy.  Recent missions and surveys, such as Gaia, have revealed that the Milky Way galaxy is not in dynamical equilibrium. The barycenter of the galaxy is moving due to the ongoing interaction with the Large Magellanic Cloud. Using the Latte hydrodynamical high-resolution zoom-in simulation of MW-like galaxies  A massive satellite moves the reference frame of the inner halo with respect to the outer halo. Resulting in some cases in apparent co-rotation motions of the outer halo when observed from the disk of the galaxies. I'll show how the orbital poles distribution of outer halo objects is strongly affected during the pericenter passages. I will further discuss what properties of the mergers, mass ratios, pericenter passages, and eccentricities, would be needed to reproduce the observational co-rotations pattern observed in the Milky Way and M31. These results provide new insight into how the observed co-ration patterns can inform us about the out-of-equilibrium stare of the galaxy. Which is a natural explanation that does not depend on the nature of the Dark Matter particle and in baryonic processes. These results also highlight the importance of taking into account the dynamic state of the LG when comparing it with LG analogs in cosmological simulations. ",The impact of massive satellites on the kinematic properties of the Local Group satellite galaxies
Nondh Panithanpaisal,"Recent studies have suggested that the Milky Way (MW)'s Dark Matter (DM) halo may be significantly tilted with respect to its central stellar disk, a feature that might be linked to its formation history. In this work, we demonstrate a method of constraining the orientation of the minor axis of the DM halo that is complementary to other traditional techniques, such as orbit fitting. We first test the method using a simulated tidal stream evolving in a realistic environment inside an MW-mass host from the FIRE cosmological simulation, showing that the theoretical description of a stream in the action-angle-frequency formalism still holds for a realistic dwarf galaxy stream in a cosmological potential. Utilizing the slopes of the line in angle and frequency space, we show that the correct rotation frame yields a minimal slope difference, allowing us to put a constraint on the minor axis location. Finally, we apply this method to the Sagittarius stream's leading arm. We report that the MW's DM halo is oblate with the flattening parameter in the potential $q\sim0.7-0.9$ and the minor axis pointing toward $(\ell,b) = (41.8\degree,48.1\degree)$. Our constraint on the minor axis location is weak and disagrees with the estimates from other works; we argue that the inconsistency can be attributed in part to the observational uncertainties and in part to the influence of the Large Magellanic Cloud.  ",Constraining the Tilt of the Milky Way's Dark Matter Halo with the Sagittarius Stream
Piyush Sharda (1),"The characteristic mass that sets the peak of the stellar initial mass function (IMF) is closely linked to the thermodynamic behaviour of interstellar gas, which controls how gas fragments as it collapses under gravity. As the Universe has grown in metal abundance over cosmic time, this thermodynamic behaviour has evolved from a primordial regime dominated by the competition between compressional heating and molecular hydrogen cooling to a modern regime where the dominant process in dense gas is protostellar radiation feedback, transmitted to the gas by dust–gas collisions. We study the gas thermodynamics in collapsing dusty molecular clouds at a wide range of metallicities, from primordial-like to super-Solar like, in different ISM conditions. We show the transition from the primordial regime to the modern regime begins at metallicity Z ∼ 0.0001 Z, passes through an intermediate stage where metal line cooling is dominant, and then transitions to the modern dust- and feedback-dominated regime at Z ∼ 0.05 Z. This transition is accompanied by a dramatic change in the characteristic stellar mass, from ∼50Msun at Z ∼ 10−6 Z to ∼0.3Msun once radiation feedback begins to dominate, which marks the appearance of the bottom-heavy Milky Way IMF. The exact transition from top- to bottom-heavy IMF occurs at intermediate metallicities, and is sensitive to the adopted abundances of elements like C and O, which observations of both metal-poor stars and H II regions in metal-poor dwarf galaxies show is non-Solar-scaled. Our work brings together the stellar and galaxy communities by revealing the impact of the IMF on our understanding of the metal-poor Universe.",When did the IMF become bottom-heavy?
Piyush Sharda (2),"Using a new semi-analytic model developed from first principles, we study the relative importance of the four major physical processes that impact the evolution of galactic discs - gas accretion from the cosmic web, feedback due to star formation and supernovae, gas transport due to gravitational instabilities and torques, and galactic outflows, on the spatially-resolved gas-phase metal distribution in galaxies. Crucially and in contrast with earlier work, we include a comprehensive treatment of these processes by including their effects for the mass, energy as well as metal budget of galactic discs. We show that in order to simultaneously explain trends in ISM metallicities (the mass-metallicity relation and the mass-metallicity gradient relation) at z = 0, feedback and accretion must dominate over transport, which also explains the Kennicutt-Schmidt relation and trends in gas velocity dispersions with star formation rates. At high redshifts, the role of transport becomes dominant over feedback in setting the ISM metal distribution and metallicity gradients. Outflows play a significant role in shaping the metallicity gradients in low mass galaxies at all redshifts, but massive galaxies show shallower gradients regardless of the metal enrichment of outflows. Upcoming JWST data of high-redshift galaxies will provide a crucial benchmark against which models likes ours can be tested, in turn providing critical constraints on metallicities of galactic winds and the role of accretion and feedback in driving turbulence in galactic discs. ","The competition between accretion, feedback, transport and outflows in driving metallicity gradients in galaxies"
Pratik Gandhi,"A key open question about the Epoch of Reionisation is the shape of the galaxy Ultraviolet Luminosity Function (UVLF) at the faint end. Even deep-field HST and JWST lensing surveys likely do not push deep enough to directly observe the faintest galaxies at z > 6, so a ""near-far"" approach provides an alternative probe. This technique uses the stellar fossil record (star formation histories) of Local Group dwarf galaxies to measure the faint end of the high-redshift UVLF. Here, we use the FIRE-2 cosmological baryonic zoom-in simulations to test key remaining uncertainties in this near-far method that might bias inferences of the UVLF at z > 6. We model the fraction of low-mass galaxies in the proto-Local Group at z > 6 that survive to z = 0 and the number of mergers or disruptions they undergo. We explore how this survival fraction depends on dwarf galaxy mass and distance from the Milky Way. We also quantify how resolved stellar photometry by JWST out to farther distances in the Local Group could improve our measurement of the high-redshift UVLF as compared to existing HST observations. Ultimately, we characterise the fidelity of the near-far technique in using Local Group dwarfs to infer the faint end of the high-redshift galaxy UVLF.",Characterising the near-far probe of reionisation and evolution of Local Group low-mass galaxies using the FIRE simulations 
Qianhui Chen,"Understanding the evolution of spiral arms and their impacts on star formation from high redshift to present day is a crucial topic in the study of disk galaxy formation. Prior works studying the azimuthal distribution of interstellar medium (ISM) and their connection with spiral arms in several local and nearby galaxies reveal the importance of moving beyond simple radial gradients to connect the resolved ISM with global galactic properties and structures. Our work provides new constraints on the influence of spiral arms on star formation and the gas-phase metal abundance enhancement with unprecedented spatially resolved IFU data at intermediate redshift (z~0.3) from the MAGPI survey. In our pilot study, we find that the 2D distribution of D4000 and gas-phase metallicity indicate younger stellar age and higher gas-phase metallicity in spiral arms. We find a higher star forming rate (SFR) in spiral arms and decreasing SFR with further distance to the arms. We observe the asymmetric distributions of ISM properties in the downstream and upstream, possibly resulting from the difference in the mixing strength of spiral arms which can be traced by upcoming comparison with simulations. With further analysis of more MAGPI galaxies and a combined study of observations on nearby spiral galaxies at z~0, our work gives a glimpse of the long-term effects of spiral arms on the evolution of disk galaxies and advances the development of spiral theories.",Azimuthal Variations of ISM properties in Spiral Galaxies at z~0.3 with MAGPI
Sarah Pearson,Withdrew,Withdrew
Sena Matsui,"The Local Group is a group of galaxies including the Milky Way Galaxy. Most of the members are dwarf galaxies. Dwarf galaxies are considered to have evolved through a number of internal mechanisms and external processes. For example, internal mechanisms include star formation, stellar feedback from supernova explosions, and galactic winds. External processes include tidal effects and the influence of star formation by nearby massive galaxies. The main targets of this study are dwarf spheroidal galaxies (dSphs). They are a class of galaxies with the lowest luminosities completely devoid of interstellar gas. Previous studies have suggested that the lack of interstellar gas is due in particular to the fact that some or most of the interstellar gas has been blown away by galactic winds in the past. Galactic winds are phenomena in which gas is partially or entirely blown away/out of a galaxy when a large number of supernova explosions occur in a short period of time. In this study, the timing of the onset of the galactic wind is calculated from multiple approaches using observed data, compared with the star formation history, and discussed. The results show that galactic winds blew away/out in many dwarf galaxies, and that star formation was temporarily or almost completely stopped. However, there were some dwarf galaxies for which no galactic wind was supposed to have blown, depending on the assumed conditions. In addition, a comparison with several galactic wind models and the relationship with the tidal effects due to the Milky Way gravitational potential will be discussed.",Estimating the onset timing of galactic winds and galaxy evolution in dwarf spheroidal galaxies of the Local Group
