index,bit,flip,title
1563,"Current methods for automated discovery of causal relationships from non-interventional data that utilize non-Gaussianity always return only a single graph or a single equivalence class, unable to express the degree of certainty attached to that output.","A Bayesian score-based approach can be developed to take advantage of non-Gaussianity when estimating linear acyclic causal models, providing a degree of certainty to the output and achieving accuracy as good as or better than existing methods.",Bayesian Discovery of Linear Acyclic Causal Models
1564,Markov Chain Monte Carlo methods for solving parameterized control problems are limited in their practicality in higher-dimensional spaces due to strong correlations between policy parameters and sampled trajectories.,"By introducing a new target distribution that incorporates more reward information from sampled trajectories and breaking strong correlations between policy parameters and trajectories, MCMC methods can be made more practical for higher-dimensional spaces and can provide estimates of the optimal policy.","New inference strategies for solving Markov Decision Processes using
  reversible jump MCMC"
1565,The prevailing belief is that algorithms for multi-venue exploration from censored data can only guarantee asymptotic convergence and treat each venue independently.,"The innovative approach is an algorithm that converges in polynomial time to a near-optimal allocation policy, treating the venues as interconnected rather than independent.",Censored Exploration and the Dark Pool Problem
1566,Sociology models for social network dynamics are traditionally analyzed using standard methods from sociology literature.,"These models can be viewed as continuous time Bayesian networks (CTBNs) and analyzed using a sampling-based approximate inference method, allowing for better accuracy in estimating parameters and accommodating indirect and asynchronous observations of the links.",Learning Continuous-Time Social Network Dynamics
1567,The Indian Buffet Process (IBP) assumes that all latent features in a dataset are uncorrelated.,"A new framework is introduced that allows for correlated nonparametric feature models, generalising the IBP.",Correlated Non-Parametric Latent Feature Models
1568,"The choice of the kernel in learning algorithms is typically left to the user, and L1 regularization is commonly used for kernel selection.","The training data can be used to learn the kernel, and using L2 regularization instead of L1 can significantly improve performance, especially with a large number of kernels.",L2 Regularization for Learning Kernels
1569,The existing alternating optimization procedures for sparse coding are the best way to represent a sequence of data-vectors sparsely.,"A convex relaxation of the sparse coding problem, combined with a boosting-style algorithm, can more effectively identify the next code element to add, overcoming the local minima problems of existing methods.",Convex Coding
1570,Multilingual topic models require carefully curated parallel corpora to analyze documents in two languages.,"A probabilistic model can discover a language match and multilingual latent topics without the need for curated parallel corpora, expanding the application of topic model formalism to a wider class of corpora.",Multilingual Topic Models for Unaligned Text
1571,"The conventional belief is that the hardness of computing the objective function and gradient of the mean field objective in intractable, undirected graphical models depends on the selection of an acyclic tractable subgraph.","The counterargument is that the hardness of computation actually depends on a simple graph property, specifically if the tractable subgraph is v-acyclic. If not, a new algorithm based on the construction of an auxiliary exponential family can be used to make inference possible.",Optimization of Structured Mean Field Objectives
1572,"Learning with unlabeled data is typically constrained by the limitations of existing methods such as posterior regularization, constraint-driven learning, and generalized expectation criteria.","An objective function using auxiliary expectation constraints can be optimized for learning with unlabeled data, providing an alternate interpretation of existing frameworks, maintaining uncertainty during optimization, and offering more efficiency.",Alternating Projections for Learning with Expectation Constraints
1573,The prevailing belief is that achieving optimal regret rate in an unknown weakly communicating Markov Decision Process (MDP) is not directly related to the span of the optimal bias vector.,"An innovative approach is proposed where an algorithm uses regularization based on the span of the optimal bias vector to achieve the optimal regret rate in an unknown weakly communicating MDP, improving on previous regret bounds.","REGAL: A Regularization based Algorithm for Reinforcement Learning in
  Weakly Communicating MDPs"
1574,"The performance of various learning algorithms for Latent Dirichlet analysis, such as collapsed Gibbs sampling, variational inference, and maximum a posteriori estimation, is significantly different due to the amount of smoothing applied to the counts.","When the hyperparameters are optimized, the differences in performance among these algorithms diminish significantly, allowing for the selection of computationally efficient approaches without compromising accuracy.",On Smoothing and Inference for Topic Models
1575,Reinforcement learning traditionally relies on a single model and does not consider the uncertainty over models.,"A modular approach to reinforcement learning can be used, which leverages a Bayesian representation of the uncertainty over models, samples multiple models, and selects actions optimistically, thereby achieving near-optimal reward with high probability and low sample complexity.",A Bayesian Sampling Approach to Exploration in Reinforcement Learning
1576,The prevailing belief is that the dependence on the number of arms in a multi-armed bandit problem is typically a standard square root of k dependence.,"The counterargument is that the dependence on the number of arms can be much better than the standard square root of k dependence, depending on the behavior of the arms' reward sequences. This can be achieved through non-uniform sampling policy and is particularly effective in the case of piecewise stationary stochastic bandits.",Decoupling Exploration and Exploitation in Multi-Armed Bandits
1577,"Hashing algorithms for nearest neighbors search, like Locality Sensitive Hashing (LSH), rely on random projection and require a large number of hash tables to achieve high precision and recall.","A new hashing algorithm, Density Sensitive Hashing (DSH), explores the geometric structure of the data to avoid purely random projections, using projective functions that best agree with the data distribution, thereby improving performance.",Density Sensitive Hashing
1578,"b-bit minwise hashing is considered computationally expensive, memory-intensive, and requires fully random permutations for large-scale industrial applications.","b-bit minwise hashing can be made more efficient through GPU parallelization, can reduce memory requirements for batch learning, and can be implemented with simple hash functions, yielding similar learning results as fully random permutations.","b-Bit Minwise Hashing in Practice: Large-Scale Batch and Online Learning
  and Using GPUs for Fast Preprocessing with Simple Hash Functions"
1579,"Traditional antivirus software relies on signature definition systems, which keep track of known viruses and are updated from the internet.","A more sophisticated antivirus engine can be developed that not only scans files but also builds knowledge and detects potential viruses by extracting system API calls made by various normal and harmful executables, and using machine learning algorithms to classify and rank files on a scale of security risk.","Malware Detection Module using Machine Learning Algorithms to Assist in
  Centralized Security in Enterprise Networks"
1580,"Bayesian model-based reinforcement learning is an optimal approach but is limited due to the enormous search space, making the finding of Bayes-optimal policies taxing.","A tractable, sample-based method for approximate Bayes-optimal planning can be introduced, which exploits Monte-Carlo tree search and avoids expensive applications of Bayes rule within the search tree by lazily sampling models from the current beliefs.","Efficient Bayes-Adaptive Reinforcement Learning using Sample-Based
  Search"
1581,Visual words are the standard for mid-level visual representation in image analysis.,"Discriminative patches can serve as a more effective and versatile unsupervised mid-level visual representation, even outperforming visual words in tasks like scene classification.",Unsupervised Discovery of Mid-Level Discriminative Patches
1582,The top arms in a multi-armed bandit game are identified using traditional methods.,"A new algorithm based on successive rejects of the seemingly bad arms and accepts of the good ones can be used to identify the top arms, extending its application to other multiple identifications settings previously unattainable.",Multiple Identifications in Multi-Armed Bandits
1583,The best performance in multibiometric systems is achieved through the use of linear classifiers like the weighted sum of scores or non-linear classifiers like SVM.,"Genetic programming can be used to derive a score fusion function, providing similar or better performance in multibiometric systems, depending on the complexity of the database.",Genetic Programming for Multibiometrics
1584,The normalized maximum likelihood (NML) code-length calculation is traditionally specific to certain types of distributions and can be computationally expensive and potentially divergent in continuous and unbounded cases.,"A general method for computing the NML code-length for the exponential family can be developed, and a new efficient method specifically for Gaussian mixture models can be proposed, improving accuracy and efficiency in tasks such as clustering.","Normalized Maximum Likelihood Coding for Exponential Family with Its
  Applications to Optimal Clustering"
1585,Traditional stock market trading strategies rely on fixed functions of side information and make stochastic assumptions about stock prices.,"A universal algorithm can be used for online trading that performs as well as any stationary trading strategy, without making stochastic assumptions about stock prices, by using a randomized well-calibrated algorithm and combining the method of randomized calibration with defensive forecasting.","Universal Algorithm for Online Trading Based on the Method of
  Calibration"
1586,Statistical relational learning traditionally represents a probability distribution directly.,"Instead of direct representation, a kernel-based learning language can be used to perform learning on logical and relational representations, transforming the relational representation into a graph and defining the feature space with a choice of graph kernel.",kLog: A Language for Logical and Relational Learning with Kernels
1587,The conventional approach to learning a low-dimensional signal model from a collection of training samples is to use an overcomplete dictionary for sparse synthesis coefficients.,"Instead of using the sparse synthesis model, a cosparse analysis model can be used, where signals are characterised by their parsimony in a transformed domain using an overcomplete (linear) analysis operator. This operator can be learned from a training corpus using a constrained optimisation framework.","Constrained Overcomplete Analysis Operator Learning for Cosparse Signal
  Modelling"
1588,"Normalized Random Measures and Normalized Generalized Gammas are typically analyzed independently, without considering their potential interdependencies.","A new approach is introduced that allows for the analysis of networks of dependent Normalized Random Measures, enabling their use in time-dependent topic modelling and other applications that require understanding hierarchical and dependent relations.",Theory of Dependent Hierarchical Normalized Random Measures
1589,Learning systems rely on observing cardinal utility values for efficient online learning and improving user results.,"Learning systems can leverage user feedback and observable behavior, such as clicks in web-search, to provide maximum utility to the user, even without observing cardinal utility values.",Online Structured Prediction via Coactive Learning
1590,The optimality of Thompson Sampling for solving the stochastic multi-armed bandit problem with Bernoulli rewards has been an open question since 1933.,"This research provides the first finite-time analysis that matches the asymptotic rate given in the Lai and Robbins lower bound for the cumulative regret, affirming the optimality of Thompson Sampling for the Bernoulli case.",Thompson Sampling: An Asymptotically Optimal Finite Time Analysis
1591,"Traditional networks rely on centralized information processing and optimization tasks, with agents working independently.","Adaptive networks, composed of cooperative agents linked through a connection topology, can perform decentralized information processing and optimization tasks, improving adaptation and learning performance through continuous diffusion of information and local interactions.",Diffusion Adaptation over Networks
1592,Analysis of temporal series related to thematic publications in web-space is typically done without the use of visualization techniques.,"A method utilizing the algorithm of smoothing out and one-dimensional cellular automata can be used to visualize periodic constituents and instability areas in series of measurements, enhancing the analysis of temporal series.","Visualization of features of a series of measurements with
  one-dimensional cellular structure"
1593,"Probabilistic models, especially those that are intractable and high dimensional, are difficult to train, evaluate, and sample from.","It is possible to develop a variety of techniques that can effectively train, evaluate, and sample from intractable and high dimensional probabilistic models.",Efficient Methods for Unsupervised Learning of Probabilistic Models
1594,Learning with drifting distributions in the batch setting is traditionally analyzed using the $L_1$ distance.,A new analysis using the notion of discrepancy and Rademacher complexity of the hypothesis set can provide tighter learning bounds and improve upon previous methods.,New Analysis and Algorithm for Learning with Drifting Distributions
1595,Complexity measures and learning dimensions are evaluated separately in the context of Boolean functions.,"Complexity measures and learning dimensions can be related to each other, providing bounds of complexity measures for one problem type in terms of the other.",From Exact Learning to Computing Boolean Functions and Back Again
1596,Sparse signal recovery algorithms traditionally ignore the correlation among the values of non-zero entries.,Incorporating intra-vector and inter-vector correlations at the algorithm level can enhance the performance of sparse signal recovery and impact the limits of support recovery.,"Sparse Signal Recovery in the Presence of Intra-Vector and Inter-Vector
  Correlation"
1597,Supervised learning problems are typically solved using hard rule ensembles generated through the importance sampling learning ensembles (ISLE) approach.,"Instead of using hard rule ensembles, soft rule ensembles obtained with logistic regression from the corresponding hard rules can be used to improve predictive performance, with Firth's bias corrected likelihood addressing the perfect separation problem related to logistic regression.",Soft Rule Ensembles for Statistical Learning
1598,"Current methods for frequent episode discovery in data mining are typically multipass algorithms, making them unsuitable for streaming context where data arrives at furious rates.","A new streaming algorithm is proposed that processes events as they arrive, one batch at a time, while discovering the top frequent episodes over a window of recent events in the stream, providing a solution suitable for high-speed data streams.","Streaming Algorithms for Pattern Discovery over Dynamically Changing
  Event Sequences"
1599,Stochastic minimization of nonsmooth convex loss functions in machine learning can only be achieved through traditional subgradient descent algorithms like SGD.,"A novel algorithm, Accelerated Nonsmooth Stochastic Gradient Descent (ANSGD), can exploit the structure of common nonsmooth loss functions to achieve optimal convergence rates, outperforming traditional methods.","Stochastic Smoothing for Nonsmooth Minimizations: Accelerating SGD by
  Exploiting Structure"
1600,Reproducing kernel Hilbert space (RKHS) embeddings of conditional distributions and vector-valued regressors are treated as separate entities.,"RKHS embeddings of conditional distributions and vector-valued regressors are equivalent, allowing for the application of vector-valued regression methods to the problem of learning conditional distributions, achieving nearly optimal rates.",Conditional mean embeddings as regressors - supplementary
1601,The classical perceptron algorithm with margin operates without a mechanism that shrinks the current weight vector as a first step of the update.,"Introducing a shrinking mechanism into the classical perceptron algorithm with margin can create a margin-error-driven version of NORMA with constant learning rate, allowing it to attain any desirable approximation of the maximal margin hyperplane in a finite number of steps.",The Role of Weight Shrinking in Large Margin Perceptron Learning
1602,"Visual quality measures in visual analytics focus primarily on the interpretability of the visualization, neglecting the interpretability of the projection axes.","Both the interpretability of the visualizations and the feature transformation functions are essential for visual exploration of high dimensional labeled data, and automated measures of visual and semantic interpretability of data projections can be used together for exploratory analysis in classification tasks.","Visual and semantic interpretability of projections of high dimensional
  data for classification tasks"
1603,"Existing reinforcement learning algorithms assume ergodicity, where any state is eventually reachable from any other state, allowing for exploration algorithms that operate by simply favoring states that have rarely been visited before.","A new approach proposes safe exploration methods in Markov decision processes, using an optimization formulation that restricts attention to a subset of the guaranteed safe policies and favors exploration policies, challenging the need for ergodicity.",Safe Exploration in Markov Decision Processes
1604,Actor-critic algorithms for reinforcement learning are limited to the on-policy setting and do not utilize off-policy techniques.,"An actor-critic algorithm can be developed for off-policy reinforcement learning, combining the generality and learning potential of off-policy learning with the flexibility in action selection of actor-critic methods.",Off-Policy Actor-Critic
1605,The conventional belief is that clustering data is a computationally difficult task due to the complexity of finding an optimal clustering based on popular criteria.,"The innovative approach suggests that if a data set can be well-clustered, then an efficient solution can be found. Therefore, clustering should not be considered a hard task.",Clustering is difficult only when it does not matter
1606,The complexity of a computational problem is traditionally quantified based on the hardness of its worst case.,"Practically interesting instances of a computational problem, which often occupy just a tiny part of an algorithm's space, should be investigated to make theory more relevant to the practice of computer science.",On the practically interesting instances of MAXCUT
1607,Structure learning of graphical models is typically done separately for Gaussian graphical models and discrete models.,"A new pairwise model can be used for structure learning of graphical models with both continuous and discrete variables, generalizing the separate approaches into a mixed case.",Learning Mixed Graphical Models
1608,Sparse feature selection in high-dimensional data is most effectively handled using convex methods.,"A nonconvex paradigm can be expanded to sparse group feature selection, providing consistent feature selection and parameter estimation, and is applicable to large-scale problems.",Efficient Sparse Group Feature Selection via Nonconvex Optimization
1609,Traditional clustering algorithms like K-means and K-harmonic mean (KHM) are the most effective methods for data partitioning.,"A hybrid clustering algorithm, combining K-mean and KHM, can provide faster and more accurate data clustering.",A hybrid clustering algorithm for data mining
1610,The conventional belief is that probabilistic graphs can only quantify the likelihood of an edge's existence or the strength of the link it represents.,"The innovative approach is to use a learning method that computes the most likely relationship between two nodes in a probabilistic graph, using language-constraint reachability to calculate the probability of possible interconnections. This method views each connection as a feature or factor, with its corresponding probability as its weight, and uses L2-regularized Logistic Regression to predict unobserved link labels.",Language-Constraint Reachability Learning in Probabilistic Graphs
1611,The conventional belief is that a sample compression scheme created from compression schemes on finite subspaces via the compactness theorem does not guarantee measurable hypotheses.,"The innovative approach is that a sample compression scheme can have universally Borel measurable hypotheses if X is a standard Borel space with a d-maximum and universally separable concept class C. Additionally, a new variant of compression scheme, called a copy sample compression scheme, is introduced.","Measurability Aspects of the Compactness Theorem for Sample Compression
  Schemes"
1612,The study of immunology and amino acid chains relies on complex biological methods and lacks a mathematical foundation.,"A mathematical approach, using a kernel on strings defined by the sequence of the chains and an amino acid substitution matrix, can effectively predict binding affinities and precisely recover serotype classifications, offering a simple and powerful methodology for immunology and amino acid chain studies.",Towards a Mathematical Foundation of Immunology and Amino Acid Chains
1613,"The conventional belief is that dictionary learning methods must balance between high signal coherence and low self-coherence, often resulting in a trade-off due to their conflicting nature.","The innovative approach is a dictionary learning method that effectively controls the self-coherence of the trained dictionary, allowing for a balance between maximizing the sparsity of codings and approximating an equiangular tight frame without the need for a trade-off.",Learning Dictionaries with Bounded Self-Coherence
1614,Gaussian process regression requires high computational resources and the effectiveness of different approximation methods is unclear.,"The quality of predictions should be assessed based on the compute time taken, and compared to standard baselines, with empirical investigation of different approximation algorithms on various prediction problems.","A Framework for Evaluating Approximation Methods for Gaussian Process
  Regression"
1615,Multiclass classification methods are typically analyzed based on their estimation error.,"The analysis of multiclass classification methods should also consider the approximation error, using tools from VC theory.","Multiclass Learning Approaches: A Theoretical Comparison with
  Implications"
1616,High-dimensional data reduction tools reliably identify the variables most responsible for a particular trait.,"Certain widely used models can classify data with 100% accuracy without using any of the variables responsible for the trait, questioning the reliability of these tools.","Finding Important Genes from High-Dimensional Data: An Appraisal of
  Statistical Tests and Machine-Learning Approaches"
1617,Dictionary learning-based classification methods require sophisticated frameworks like online dictionary learning and spatial pyramid matching.,Direct dictionary learning-based classification methods can be effective by adding meaningful penalty terms and making the dictionary or the sparse coefficients discriminative.,"A Brief Summary of Dictionary Learning Based Approach for Classification
  (revised)"
1618,The basis pursuit denoise (BPDN) problem formulation is the dominant method for sparse signal recovery.,"A new algorithm, WSPGL1, can outperform BPDN in finding sparse solutions to underdetermined linear systems of equations without additional computational cost.",Beyond $\ell_1$-norm minimization for sparse signal recovery
1619,"Admixture models, or topic models, are typically studied without considering the impact of increasing data on the latent population structure.","The research adopts a geometric view of admixture models, studying the posterior contraction behavior of the latent population structure as the amount of data increases, using tools from convex geometry and hierarchical model asymptotics.","Posterior contraction of the population polytope in finite admixture
  models"
1620,The traditional approach to estimating multiple predictive functions from a dictionary of basis functions in nonparametric regression assumes a simple linear combination of the basis functions.,"By assuming that the coefficient matrix has a sparse low-rank structure, the function estimation problem can be formulated as a convex program regularized by the trace norm and the $\ell_1$-norm simultaneously, and solved using the accelerated gradient method and the alternating direction method of multipliers.",Sparse Trace Norm Regularization
1621,"Hierarchical Text Categorization (HTC) systems traditionally use a top-down strategy and Local Classifier per Node (LCN) approach, without effectively embedding hierarchical information (parent-child relationship) to improve performance.","A new method proposes to improve HTC systems by incorporating a confidence evaluation method for a selected route in the hierarchy, using weight factors to account for the importance of each level, and implementing an acceptance/rejection strategy in the top-down decision making process to improve categorization accuracy.","A Route Confidence Evaluation Method for Reliable Hierarchical Text
  Categorization"
1622,"The standard noise removal methods for photon-limited images, which are typically modeled using a Poisson distribution, often result in significant artifacts due to the inherent heteroscedasticity of the data.","A novel denoising algorithm for photon-limited images can be introduced, combining elements of dictionary learning, sparse patch-based representations of images, an adaptation of Principal Component Analysis (PCA) for Poisson noise, and sparsity-regularized convex optimization algorithms, which proves to be highly competitive in very low light regimes.",Poisson noise reduction with non-local PCA
1623,"Information aggregation in hierarchical social networks, like military or enterprise structures, is typically binary, with leaf agents making direct measurements and passing decisions up the chain.","A more effective approach could involve a non-binary message-passing scheme, where supervising agents aggregate decisions from their group members, produce summary messages, and pass them up the hierarchy, thereby reducing error probabilities.",Learning in Hierarchical Social Networks
1624,"Traditional clustering algorithms translate vector data into a graph using a distance or similarity metric, then search for highly connected subgraphs.","A new clustering algorithm is introduced that uses ideas from the topological concept of thin position for knots and 3-dimensional manifolds, offering a different approach to partitioning data points.",Topological graph clustering with thin position
1625,Partially observable Markov decision processes are the standard models for real-world decision making problems.,"A modified version, Mixed observability Markov decision process (MOMDP), can be used to model the interaction of intelligent agents with a musical pitch environment, providing a new approach to decision making models in this context.",A Mixed Observability Markov Decision Process Model for Musical Pitch
1626,"The Chow Parameters Problem, which involves reconstructing a linear threshold function from its Chow parameters, has been traditionally solved using inefficient algorithms with high running time.","A new algorithm is proposed that significantly reduces the running time for solving the Chow Parameters Problem, providing a more efficient solution for reconstructing linear threshold functions from their Chow parameters.","Nearly optimal solutions for the Chow Parameters Problem and low-weight
  approximation of halfspaces"
1627,"Unsupervised models are typically used to detect differences between training and target distributions, and their use is limited to providing soft constraints for classifying new data.","Unsupervised models can be integrated into a general optimization framework that uses class membership estimates and a similarity matrix to yield a consensus labeling of the target data, providing a principled and scalable approach that outperforms popular transductive learning techniques.","An Optimization Framework for Semi-Supervised and Transfer Learning
  using Multiple Classifiers and Clusterers"
1628,"Opinion mining holder recognition in Arabic language requires a robust, publicly available parser to understand clause structures.","Opinion holder extraction in Arabic news can be achieved independently from any lexical parsers by constructing a comprehensive feature set, using Conditional Random Fields and semi-supervised pattern recognition techniques.","A Machine Learning Approach For Opinion Holder Extraction In Arabic
  Language"
1629,"The conventional belief is that methods for learning the connectivity structure of Markov Random Fields are mostly based on L1-regularized optimization, despite its disadvantages such as the inability to assess model uncertainty, expensive cross-validation to find the optimal regularization parameter, and potential degradation of the model's predictive performance with a suboptimal value of the regularization parameter.","The innovative approach is a fully Bayesian method based on a ""spike and slab"" prior, similar to L0 regularization, which does not suffer from the shortcomings of L1-regularized optimization. This method learns a good combination of the structure and parameter values without the need for separate hyper-parameter tuning, and its predictive performance is much more robust, even with hyper-parameter settings that induce highly sparse model structures.","Bayesian Structure Learning for Markov Random Fields with a Spike and
  Slab Prior"
1630,The performance of stochastic gradient descent (SGD) critically depends on manual tuning and decreasing of learning rates over time.,"An automatic method can adjust multiple learning rates to minimize the expected error at any time, relying on local gradient variations across samples, and can increase as well as decrease learning rates, making it suitable for non-stationary problems and eliminating the need for manual learning rate tuning.",No More Pesky Learning Rates
1631,Data mining techniques are universally applicable and do not require domain-specific understanding for effective prediction.,"Successful application of data mining techniques, such as J48 and Naive Bayes, for predicting lung cancer survivability requires domain-specific understanding to leverage inherent characteristics in the data.","Comparison of the C4.5 and a Naive Bayes Classifier for the Prediction
  of Lung Cancer Survivability"
1632,"Training algorithms for latent Dirichlet allocation (LDA) require storing previous messages, which increases memory usage linearly with the number of documents or topics.","A novel algorithm, tiny belief propagation (TBP), can train LDA without storing previous messages, reducing space complexity and enabling topic modeling on massive corpora that cannot fit in computer memory.",Memory-Efficient Topic Modeling
1633,"The conventional belief is that the step size in the CSA-ES algorithm, which is adapted by measuring the length of a cumulative path, remains consistent or changes slowly over time.","The research challenges this by demonstrating that the step size in the CSA-ES algorithm can diverge geometrically fast in most cases, and the influence of the cumulation parameter on this divergence is significant.",Cumulative Step-size Adaptation on Linear Functions: Technical Report
1634,Nonnegative matrix factorizations (NMFs) are traditionally computed using existing algorithms that may not efficiently handle general noise models or large-scale data.,"A new approach based on linear programming can compute NMFs using a data-driven model that selects salient features from the data, leading to efficient, scalable algorithms that can handle more general noise models and large-scale data.",Factoring nonnegative matrices with linear programs
1635,"Sparse regression in high dimensions is typically approached using convex optimization techniques, which require a large number of samples and have high computational complexity.","A new algorithm can perform multiple sparse regression by iteratively adding and removing individual elements and entire rows of a matrix, reducing computational complexity and requiring fewer samples.",A New Greedy Algorithm for Multiple Sparse Regression
1636,"Most learning methods with rank or sparsity constraints use convex relaxations, leading to optimization with the nuclear norm or the $\ell_1$-norm.","Efficient sparse projections onto the simplex and its extension can be used to solve high-dimensional learning problems in various applications, even with non-convex constraints.",Sparse projections onto the simplex
1637,"Newton-type methods are traditionally used for minimizing smooth functions and are not applicable to a sum of two convex functions, including a nonsmooth function.","Newton-type methods can be generalized to handle a sum of two convex functions, including a nonsmooth function with a simple proximal mapping, while maintaining desirable convergence behavior.",Proximal Newton-type methods for minimizing composite functions
1638,Most discriminant analysis algorithms for feature extraction are based on transformations that maximize the between-class scatter and minimize the within-class scatter matrices.,"A novel discriminant analysis algorithm for feature extraction can be based on one-dimensional mutual information estimations, providing robust performance over different data sets.",Dimension Reduction by Mutual Information Discriminant Analysis
1639,The conventional belief is that parallel topic modeling often suffers from low efficiency due to extensive communication delay.,"The innovative approach is to use Zipf's law in a novel communication-efficient parallel belief propagation algorithm to reduce the total communication cost, thereby increasing topic modeling accuracy and efficiency.","Communication-Efficient Parallel Belief Propagation for Latent Dirichlet
  Allocation"
1640,Finding the right parameter configuration in model selection via cross-validation is a time-consuming task due to the increasing size of data sets.,An improved cross-validation procedure using nonparametric testing and sequential analysis can speed up computation time while preserving the capability of full cross-validation.,Fast Cross-Validation via Sequential Testing
1641,Optimization algorithms for learning problems require knowing in advance the total number of iterations and a bound on the domain.,A novel optimization algorithm can be developed using a time variant smoothing strategy that does not depend on knowing the total number of iterations or a bound on the domain in advance.,PRISMA: PRoximal Iterative SMoothing Algorithm
1642,Deterministic finite automata (DFA) learning algorithms are typically not designed for incremental learning and efficiency in software engineering applications.,"A new algorithm, IDS, based on the concept of distinguishing sequences, can incrementally learn DFA efficiently, making it suitable for software engineering applications like testing and model inference.",IDS: An Incremental Learning Algorithm for Finite Automata
1643,"Tuning machine learning algorithms often requires expert experience, unwritten rules of thumb, or brute-force search.","Automatic tuning of machine learning algorithms using Bayesian optimization can exceed expert-level performance, efficiently leveraging previous experiments and parallel experimentation.",Practical Bayesian Optimization of Machine Learning Algorithms
1644,"Linear classifiers can only be obtained through regularization and infinite samples, and cannot fit arbitrary decision boundaries.","Linear classifiers can be obtained through minimization of an unregularized convex risk over a finite sample, and can fit arbitrary decision boundaries by scaling the complexity of the weak learning class with the sample size.","Statistical Consistency of Finite-dimensional Unregularized Linear
  Classification"
1645,Adaptive networks for distributed estimation cannot exploit sparsity in the underlying system model.,"By using convex regularization, common in compressive sensing, adaptive networks can detect sparsity via a diffusive process, learning the sparse structure from incoming data in real-time and tracking variations in model sparsity.",Sparse Distributed Learning Based on Diffusion Adaptation
1646,Unsupervised learning of parsing models relies on infinite data for identifiability and uses EM or spectral methods for parameter estimation.,"Identifiability can be numerically checked using the rank of a Jacobian matrix, and a new strategy, unmixing, can handle parameter estimation for identifiable models, even when the parse tree topology varies across sentences.",Identifiability and Unmixing of Latent Parse Trees
1647,"The conventional belief is that the proximity condition for clustering datasets requires a large additive factor, and the center separation must be as large as this bound.","The innovative approach weakens the center separation bound by a factor of √k and the proximity condition by a factor of k, achieving the same guarantees with these weaker bounds and even better guarantees under certain conditions.",Improved Spectral-Norm Bounds for Clustering
1648,"The belief that no optimal planning techniques exist for reinforcement learning in domains with continuous state spaces and stochastic, switching dynamics.","The introduction of a reinforcement learning algorithm that is probably approximately correct with a sample complexity that scales polynomially with the state-space dimension, using fitted value iteration to solve the learned MDP, and including the error due to approximate planning in the bounds.",CORL: A Continuous-state Offset-dynamics Reinforcement Learner
1649,Learning the chordal structure of a probabilistic model from data is complex and inefficient.,"A simple and efficient greedy hill-climbing search algorithm can be used to learn the chordal structure of a probabilistic model from data, providing an inclusion-optimal structure under certain conditions.",Learning Inclusion-Optimal Chordal Graphs
1650,Undirected graphs are typically represented using incidence matrices.,"Clique matrices can be used as an alternative representation of undirected graphs, allowing for a decomposition into overlapping clusters and parameterising positive definite matrices under zero constraints.","Clique Matrices for Statistical Graph Decomposition and Parameterising
  Restricted Positive Definite Matrices"
1651,"Large scale optimization problems in Gaussian process regression are traditionally solved using dense methods like Conjugate Gradient or SMO, which can be time-consuming and inefficient.","A variable decomposition algorithm, GBCD, can break down large scale optimization problems into smaller sub-problems, making the process faster and more efficient, while maintaining accuracy and handling large datasets.","Greedy Block Coordinate Descent for Large Scale Gaussian Process
  Regression"
1652,"The partition function is typically computed using the full model, which can be complex and computationally intensive.","The partition function can be approximated by computing it for a simplified model and then applying an edge-by-edge correction, allowing for a trade-off between approximation quality and computational complexity.","Approximating the Partition Function by Deleting and then Correcting for
  Model Edges"
1653,"Traditional multi-view learning approaches struggle when samples in each view do not belong to the same class due to view corruption, occlusion or other noise processes.","A new multi-view learning approach uses a conditional entropy criterion to detect view disagreement, filter out such samples, and then apply standard multi-view learning methods to the remaining samples, improving the performance of traditional multi-view learning approaches.",Multi-View Learning in the Presence of View Disagreement
1654,"The prevailing belief is that the Gaussian fractional Bethe free energy, used in computing approximate marginals in Gaussian probabilistic models, is bounded from below only when the Bethe free energy is also bounded from below.","The Gaussian fractional Bethe free energy can possess a local minimum to which minimization algorithms can converge, even when the Bethe free energy is not bounded from below.",Bounds on the Bethe Free Energy for Gaussian Networks
1655,"Graphical models trained using maximum likelihood are the standard tool for probabilistic inference of marginal distributions, even though they struggle when the inference process or the model is approximate.","Instead of using maximum likelihood, the inference process can be defined as the minimization of a convex function, with learning done directly in terms of the performance of the inference process at univariate marginal prediction. This approach, which minimizes empirical risk, can improve the accuracy of predicted marginals.",Learning Convex Inference of Marginals
1656,"Learning a sparse Gaussian Markov random field (GMRF) in a high-dimensional space is typically slow and inefficient, and existing methods struggle to sparsify entire blocks within the inverse covariance matrix.","A novel projected gradient method using the l1-norm as a regularization on the inverse covariance matrix can learn a sparse GMRF more quickly and efficiently, and can be easily generalized to sparsify entire blocks within the inverse covariance matrix, improving generalization performance.",Projected Subgradient Methods for Learning Sparse Gaussians
1657,The hierarchical Bayes framework for transfer learning is computationally demanding and does not naturally lend itself to efficient prediction using maximum aposteriori estimates.,"An undirected reformulation of hierarchical Bayes can be proposed, relying on priors in the form of similarity measures and introducing ""degree of transfer"" weights. This results in a convex objective for many learning problems, facilitating optimal posterior point estimation using standard optimization techniques and allowing for flexible specification of joint distributions over transfer hierarchies.",Convex Point Estimation using Undirected Bayesian Transfer Hierarchies
